"","sc","year","site","treatment","transect","round","uniqueID","genus","species","gs","plant_genus","plant_species"
"3378","2012_ROT",2012,"RO","T","2","1","NAT.CIG2012_1015","Halictus","ligatus_poeyi","Halictus_ligatus_poeyi","Coreopsis","lanceolata"
"3379","2012_ROT",2012,"RO","T","2","1","NAT.CIG2012_1016","Halictus","ligatus_poeyi","Halictus_ligatus_poeyi","Coreopsis","lanceolata"
"3380","2012_ROT",2012,"RO","T","4","1","NAT.CIG2012_1017","Halictus","ligatus_poeyi","Halictus_ligatus_poeyi","Coreopsis","lanceolata"
"3381","2012_ROT",2012,"RO","T","1","1","NAT.CIG2012_1018","Halictus","ligatus_poeyi","Halictus_ligatus_poeyi","Coreopsis","lanceolata"
"3382","2012_ROT",2012,"RO","T","2","1","NAT.CIG2012_1019","Halictus","ligatus_poeyi","Halictus_ligatus_poeyi","Coreopsis","lanceolata"
"3383","2012_ROT",2012,"RO","T","2","1","NAT.CIG2012_1020","Halictus","ligatus_poeyi","Halictus_ligatus_poeyi","Coreopsis","lanceolata"
"3384","2012_ROT",2012,"RO","T","4","1","NAT.CIG2012_1021","Halictus","ligatus_poeyi","Halictus_ligatus_poeyi","Coreopsis","lanceolata"
"3385","2012_ROT",2012,"RO","T","1","1","NAT.CIG2012_1022","Halictus","ligatus_poeyi","Halictus_ligatus_poeyi","Coreopsis","lanceolata"
"3386","2012_ROT",2012,"RO","T","1","1","NAT.CIG2012_1023","Halictus","ligatus_poeyi","Halictus_ligatus_poeyi","Coreopsis","lanceolata"
"3387","2012_ROT",2012,"RO","T","2","1","NAT.CIG2012_1024","Halictus","ligatus_poeyi","Halictus_ligatus_poeyi","Leucanthemum","vulgare"
"3388","2012_ROT",2012,"RO","T","2","1","NAT.CIG2012_1025","Halictus","ligatus_poeyi","Halictus_ligatus_poeyi","Leucanthemum","vulgare"
"3389","2012_ROT",2012,"RO","T","4","1","NAT.CIG2012_1026","Halictus","ligatus_poeyi","Halictus_ligatus_poeyi","Leucanthemum","vulgare"
"3390","2012_ROT",2012,"RO","T","4","1","NAT.CIG2012_1027","Halictus","ligatus_poeyi","Halictus_ligatus_poeyi","Leucanthemum","vulgare"
"3391","2012_ROT",2012,"RO","T","4","1","NAT.CIG2012_1028","Halictus","ligatus_poeyi","Halictus_ligatus_poeyi","Leucanthemum","vulgare"
"3392","2012_ROT",2012,"RO","T","2","1","NAT.CIG2012_1029","Halictus","ligatus_poeyi","Halictus_ligatus_poeyi","Leucanthemum","vulgare"
"3393","2012_ROT",2012,"RO","T","2","1","NAT.CIG2012_1030","Halictus","ligatus_poeyi","Halictus_ligatus_poeyi","Leucanthemum","vulgare"
"3394","2012_ROT",2012,"RO","T","2","1","NAT.CIG2012_1031","Halictus","ligatus_poeyi","Halictus_ligatus_poeyi","Leucanthemum","vulgare"
"3395","2012_ROT",2012,"RO","T","4","1","NAT.CIG2012_1032","Halictus","ligatus_poeyi","Halictus_ligatus_poeyi","Leucanthemum","vulgare"
"3396","2012_ROT",2012,"RO","T","4","1","NAT.CIG2012_1033","Halictus","ligatus_poeyi","Halictus_ligatus_poeyi","Trifolium","repens"
"3397","2012_ROT",2012,"RO","T","2","3","NAT.CIG2012_1034","Halictus","ligatus_poeyi","Halictus_ligatus_poeyi","Centaurea","stoebe"
"3398","2012_ROT",2012,"RO","T","1","4","NAT.CIG2012_1035","Halictus","ligatus_poeyi","Halictus_ligatus_poeyi","Coreopsis","lanceolata"
"3399","2012_ROT",2012,"RO","T","1","4","NAT.CIG2012_1036","Halictus","ligatus_poeyi","Halictus_ligatus_poeyi","Coreopsis","lanceolata"
"3400","2012_ROT",2012,"RO","T","1","4","NAT.CIG2012_1037","Halictus","ligatus_poeyi","Halictus_ligatus_poeyi","Coreopsis","lanceolata"
"3401","2012_ROT",2012,"RO","T","2","4","NAT.CIG2012_1038","Halictus","ligatus_poeyi","Halictus_ligatus_poeyi","Coreopsis","lanceolata"
"3402","2012_ROT",2012,"RO","T","1","4","NAT.CIG2012_1039","Halictus","ligatus_poeyi","Halictus_ligatus_poeyi","thistle","CHECK"
"3403","2012_ABT",2012,"AB","T","3","3","NAT.CIG2012_1040","Halictus","ligatus_poeyi","Halictus_ligatus_poeyi","Eupatorium","hyssopifolium"
"3404","2012_ABT",2012,"AB","T","2","3","NAT.CIG2012_1041","Halictus","ligatus_poeyi","Halictus_ligatus_poeyi","Heliopsis","helianthoides"
"3405","2012_ALT",2012,"AL","T","3","4","NAT.CIG2012_1042","Halictus","ligatus_poeyi","Halictus_ligatus_poeyi","Rudbeckia","hirta"
"3406","2012_BWC",2012,"BW","C","3","2","NAT.CIG2012_1043","Halictus","ligatus_poeyi","Halictus_ligatus_poeyi","Erigeron","philadelphicus"
"3407","2012_BWT",2012,"BW","T","3","3","NAT.CIG2012_1044","Halictus","ligatus_poeyi","Halictus_ligatus_poeyi","Rudbeckia","hirta"
"3408","2012_BWT",2012,"BW","T","4","3","NAT.CIG2012_1045","Halictus","ligatus_poeyi","Halictus_ligatus_poeyi","Rudbeckia","hirta"
"3409","2012_BWT",2012,"BW","T","3","4","NAT.CIG2012_1046","Halictus","ligatus_poeyi","Halictus_ligatus_poeyi","Conyza","canadensis"
"3410","2012_BWT",2012,"BW","T","4","4","NAT.CIG2012_1047","Halictus","ligatus_poeyi","Halictus_ligatus_poeyi","Gaillardia","pulchella"
"3411","2012_DFT",2012,"DF","T","2","3","NAT.CIG2012_1048","Halictus","ligatus_poeyi","Halictus_ligatus_poeyi","Conyza","canadensis"
"3412","2012_DFT",2012,"DF","T","4","3","NAT.CIG2012_1049","Halictus","ligatus_poeyi","Halictus_ligatus_poeyi","Rudbeckia","hirta"
"3413","2012_DFT",2012,"DF","T","2","4","NAT.CIG2012_1050","Halictus","ligatus_poeyi","Halictus_ligatus_poeyi","Rudbeckia","hirta"
"3414","2012_DFT",2012,"DF","T","4","4","NAT.CIG2012_1051","Halictus","ligatus_poeyi","Halictus_ligatus_poeyi","Rudbeckia","hirta"
"3415","2012_BWT",2012,"BW","T","1","2","NAT.CIG2012_1052","Halictus","parallelus","Halictus_parallelus","Rudbeckia","hirta"
"3416","2012_DFC",2012,"DF","C","3","2","NAT.CIG2012_1053","Halictus","parallelus","Halictus_parallelus","Anthemis","cotula"
"3417","2012_DFC",2012,"DF","C","4","2","NAT.CIG2012_1054","Halictus","parallelus","Halictus_parallelus","Ranunculus","bulbosus"
"3418","2012_ABT",2012,"AB","T","3","1","NAT.CIG2012_1055","Halictus","rubicundus","Halictus_rubicundus","Trifolium","repens"
"3419","2012_MAT",2012,"MA","T","2","1","NAT.CIG2012_1056","Halictus","rubicundus","Halictus_rubicundus","Asclepias","tuberosa"
"3420","2012_MAT",2012,"MA","T","1","1","NAT.CIG2012_1057","Halictus","rubicundus","Halictus_rubicundus","Trifolium","repens"
"3421","2012_MAT",2012,"MA","T","4","1","NAT.CIG2012_1058","Halictus","rubicundus","Halictus_rubicundus","Erigeron","philadelphicus"
"3422","2012_MAT",2012,"MA","T","1","2","NAT.CIG2012_1059","Halictus","rubicundus","Halictus_rubicundus","Coreopsis","tinctoria"
"3423","2012_MAT",2012,"MA","T","3","2","NAT.CIG2012_1060","Halictus","rubicundus","Halictus_rubicundus","Rudbeckia","hirta"
"3424","2012_BWT",2012,"BW","T","3","2","NAT.CIG2012_1061","Halictus","rubicundus","Halictus_rubicundus","Rudbeckia","hirta"
"3425","2012_DFT",2012,"DF","T","2","3","NAT.CIG2012_1062","Halictus","confusus","Halictus_confusus","Conyza","canadensis"
"3426","2012_DFT",2012,"DF","T","1","3","NAT.CIG2012_1063","Halictus","confusus","Halictus_confusus","Conyza","canadensis"
"3427","2012_ROC",2012,"RO","C","4","3","NAT.CIG2012_1064","Halictus","confusus","Halictus_confusus","Centaurea","stoebe"
"3428","2012_DFC",2012,"DF","C","4","2","NAT.CIG2012_1065","Halictus","ligatus_poeyi","Halictus_ligatus_poeyi","Erigeron","philadelphicus"
"3429","2012_DFT",2012,"DF","T","3","2","NAT.CIG2012_1066","Halictus","ligatus_poeyi","Halictus_ligatus_poeyi","Rudbeckia","hirta"
"3430","2012_DFT",2012,"DF","T","4","2","NAT.CIG2012_1067","Halictus","ligatus_poeyi","Halictus_ligatus_poeyi","Rudbeckia","hirta"
"3431","2012_ABT",2012,"AB","T","1","2","NAT.CIG2012_1068","Halictus","parallelus","Halictus_parallelus","Rudbeckia","hirta"
"3432","2012_ABT",2012,"AB","T","3","2","NAT.CIG2012_1069","Halictus","parallelus","Halictus_parallelus","Rudbeckia","hirta"
"3433","2012_ABT",2012,"AB","T","2","2","NAT.CIG2012_1070","Halictus","parallelus","Halictus_parallelus","Rudbeckia","hirta"
"3434","2012_ABT",2012,"AB","T","4","2","NAT.CIG2012_1071","Halictus","parallelus","Halictus_parallelus","Rudbeckia","hirta"
"3435","2012_DFC",2012,"DF","C","3","2","NAT.CIG2012_1072","Halictus","parallelus","Halictus_parallelus","Erigeron","philadelphicus"
"3436","2012_DFC",2012,"DF","C","4","2","NAT.CIG2012_1073","Halictus","parallelus","Halictus_parallelus","Erigeron","philadelphicus"
"3437","2012_DFC",2012,"DF","C","4","1","NAT.CIG2012_1074","Heriades","carinata","Heriades_carinata","Anthemis","cotula"
"3438","2012_DFC",2012,"DF","C","1","1","NAT.CIG2012_1075","Heriades","leavitti","Heriades_leavitti","Anthemis","cotula"
"3439","2012_MAT",2012,"MA","T","3","1","NAT.CIG2012_1076","Heriades","carinata","Heriades_carinata","Erigeron","philadelphicus"
"3440","2012_DFC",2012,"DF","C","4","4","NAT.CIG2012_1077","Hylaeus","affinis_modestus","Hylaeus_affinis_modestus","Chamaecrista","fasciculata"
"3441","2012_ROC",2012,"RO","C","2","2","NAT.CIG2012_1078","Hylaeus","affinis_modestus","Hylaeus_affinis_modestus","Monarda","fistulosa"
"3442","2012_ROC",2012,"RO","C","1","4","NAT.CIG2012_1079","Hylaeus","affinis_modestus","Hylaeus_affinis_modestus","Solidago","sp"
"3443","2012_ROT",2012,"RO","T","2","4","NAT.CIG2012_1080","Hylaeus","affinis_modestus","Hylaeus_affinis_modestus","Coreopsis","lanceolata"
"3444","2012_ALC",2012,"AL","C","1","4","NAT.CIG2012_1081","Hylaeus","mesillae","Hylaeus_mesillae","purpledaisy","CHECK"
"3445","2012_ALC",2012,"AL","C","1","4","NAT.CIG2012_1082","Hylaeus","mesillae","Hylaeus_mesillae","Solidago","canadensis"
"3446","2012_DFC",2012,"DF","C","2","3","NAT.CIG2012_1083","Hylaeus","modestus","Hylaeus_modestus","Erigeron","philadelphicus"
"3447","2012_ALC",2012,"AL","C","3","4","NAT.CIG2012_1084","Hylaeus","affinis_modestus","Hylaeus_affinis_modestus","Solidago","canadensis"
"3448","2012_ALT",2012,"AL","T","2","2","NAT.CIG2012_1085","Lasioglossum","mitchelli","Lasioglossum_mitchelli","Erigeron","philadelphicus"
"3449","2012_BWC",2012,"BW","C","1","2","NAT.CIG2012_1086","Lasioglossum","mitchelli","Lasioglossum_mitchelli","Hypericum","perforatum"
"3450","2012_MAT",2012,"MA","T","2","2","NAT.CIG2012_1087","Lasioglossum","mitchelli","Lasioglossum_mitchelli","Rudbeckia","hirta"
"3451","2012_BWT",2012,"BW","T","3","1","NAT.CIG2012_1088","Lasioglossum","mitchelli","Lasioglossum_mitchelli","Rudbeckia","hirta"
"3452","2012_ROC",2012,"RO","C","4","2","NAT.CIG2012_1089","Lasioglossum","anomalum","Lasioglossum_anomalum","Asclepias","syriaca"
"3453","2012_MAC",2012,"MA","C","1","4","NAT.CIG2012_1090","Lasioglossum","callidum","Lasioglossum_callidum","Erigeron","philadelphicus"
"3454","2012_MAT",2012,"MA","T","3","1","NAT.CIG2012_1091","Lasioglossum","callidum","Lasioglossum_callidum","Rudbeckia","hirta"
"3455","2012_MAT",2012,"MA","T","3","1","NAT.CIG2012_1092","Lasioglossum","callidum","Lasioglossum_callidum","Rudbeckia","hirta"
"3456","2012_MAT",2012,"MA","T","1","1","NAT.CIG2012_1093","Lasioglossum","callidum","Lasioglossum_callidum","Erigeron","philadelphicus"
"3457","2012_MAT",2012,"MA","T","3","1","NAT.CIG2012_1094","Lasioglossum","callidum","Lasioglossum_callidum","Erigeron","philadelphicus"
"3458","2012_MAT",2012,"MA","T","4","2","NAT.CIG2012_1095","Lasioglossum","callidum","Lasioglossum_callidum","Asclepias","tuberosa"
"3459","2012_MAT",2012,"MA","T","3","2","NAT.CIG2012_1096","Lasioglossum","callidum","Lasioglossum_callidum","Trifolium","repens"
"3460","2012_MAT",2012,"MA","T","1","2","NAT.CIG2012_1097","Lasioglossum","callidum","Lasioglossum_callidum","Erigeron","philadelphicus"
"3461","2012_ALT",2012,"AL","T","2","2","NAT.CIG2012_1098","Lasioglossum","coeruleum","Lasioglossum_coeruleum","Erigeron","philadelphicus"
"3462","2012_ABT",2012,"AB","T","2","4","NAT.CIG2012_1099","Lasioglossum","coreopsis","Lasioglossum_coreopsis","Heliopsis","helianthoides"
"3463","2012_ABT",2012,"AB","T","4","3","NAT.CIG2012_1100","Lasioglossum","coreopsis","Lasioglossum_coreopsis","Hieracium","praealtum"
"3464","2012_MAC",2012,"MA","C","3","1","NAT.CIG2012_1101","Lasioglossum","coreopsis","Lasioglossum_coreopsis","Apocynum","cannabinum"
"3465","2012_MAC",2012,"MA","C","1","1","NAT.CIG2012_1102","Lasioglossum","coreopsis","Lasioglossum_coreopsis","Hieracium","praealtum"
"3466","2012_MAC",2012,"MA","C","4","1","NAT.CIG2012_1103","Lasioglossum","coreopsis","Lasioglossum_coreopsis","Sisyrinchium","angustifolium"
"3467","2012_MAC",2012,"MA","C","1","2","NAT.CIG2012_1104","Lasioglossum","coreopsis","Lasioglossum_coreopsis","Achillea","millefolium"
"3468","2012_MAC",2012,"MA","C","2","2","NAT.CIG2012_1105","Lasioglossum","coreopsis","Lasioglossum_coreopsis","Hieracium","praealtum"
"3469","2012_MAC",2012,"MA","C","4","2","NAT.CIG2012_1106","Lasioglossum","coreopsis","Lasioglossum_coreopsis","Hieracium","praealtum"
"3470","2012_MAC",2012,"MA","C","4","2","NAT.CIG2012_1107","Lasioglossum","coreopsis","Lasioglossum_coreopsis","Hieracium","praealtum"
"3471","2012_MAC",2012,"MA","C","4","2","NAT.CIG2012_1108","Lasioglossum","coreopsis","Lasioglossum_coreopsis","Hieracium","praealtum"
"3472","2012_MAC",2012,"MA","C","4","4","NAT.CIG2012_1109","Lasioglossum","coreopsis","Lasioglossum_coreopsis","yellowaster","CHECK"
"3473","2012_ALT",2012,"AL","T","1","2","NAT.CIG2012_1110","Lasioglossum","cressonii","Lasioglossum_cressonii","Erigeron","philadelphicus"
"3474","2012_MAC",2012,"MA","C","3","1","NAT.CIG2012_1111","Lasioglossum","cressonii","Lasioglossum_cressonii","Apocynum","cannabinum"
"3475","2012_ALC",2012,"AL","C","3","2","NAT.CIG2012_1112","Lasioglossum","ephialtum","Lasioglossum_ephialtum","Lysimachia","punctata"
"3476","2012_ALC",2012,"AL","C","1","3","NAT.CIG2012_1113","Lasioglossum","ephialtum","Lasioglossum_ephialtum","Mimulus","ringens"
"3477","2012_ROT",2012,"RO","T","1","3","NAT.CIG2012_1114","Lasioglossum","imitatum","Lasioglossum_imitatum","Centaurea","stoebe"
"3478","2012_ALT",2012,"AL","T","2","2","NAT.CIG2012_1115","Lasioglossum","imitatum","Lasioglossum_imitatum","Erigeron","philadelphicus"
"3479","2012_BWC",2012,"BW","C","1","4","NAT.CIG2012_1116","Lasioglossum","leucocomum","Lasioglossum_leucocomum","Oenothera","perennis"
"3480","2012_BWT",2012,"BW","T","2","2","NAT.CIG2012_1117","Lasioglossum","leucocomum","Lasioglossum_leucocomum","Coreopsis","tinctoria"
"3481","2012_DFC",2012,"DF","C","4","4","NAT.CIG2012_1118","Lasioglossum","leucocomum","Lasioglossum_leucocomum","Chamaecrista","fasciculata"
"3482","2012_DFC",2012,"DF","C","2","4","NAT.CIG2012_1119","Lasioglossum","leucocomum","Lasioglossum_leucocomum","Chamaecrista","fasciculata"
"3483","2012_ALT",2012,"AL","T","4","1","NAT.CIG2012_1120","Lasioglossum","lineatulum","Lasioglossum_lineatulum","Erigeron","philadelphicus"
"3484","2012_MAT",2012,"MA","T","1","2","NAT.CIG2012_1121","Lasioglossum","oblongum","Lasioglossum_oblongum","Erigeron","philadelphicus"
"3485","2012_ABT",2012,"AB","T","1","3","NAT.CIG2012_1122","Lasioglossum","pectorale","Lasioglossum_pectorale","Heliopsis","helianthoides"
"3486","2012_ABT",2012,"AB","T","1","3","NAT.CIG2012_1123","Lasioglossum","pectorale","Lasioglossum_pectorale","Heliopsis","helianthoides"
"3487","2012_BWT",2012,"BW","T","2","2","NAT.CIG2012_1124","Lasioglossum","pectorale","Lasioglossum_pectorale","Rudbeckia","hirta"
"3488","2012_BWT",2012,"BW","T","4","3","NAT.CIG2012_1125","Lasioglossum","pectorale","Lasioglossum_pectorale","Rudbeckia","hirta"
"3489","2012_DFC",2012,"DF","C","3","2","NAT.CIG2012_1126","Lasioglossum","pectorale","Lasioglossum_pectorale","Ranunculus","bulbosus"
"3490","2012_DFT",2012,"DF","T","1","3","NAT.CIG2012_1127","Lasioglossum","pectorale","Lasioglossum_pectorale","Chamaecrista","fasciculata"
"3491","2012_DFT",2012,"DF","T","2","3","NAT.CIG2012_1128","Lasioglossum","pectorale","Lasioglossum_pectorale","Conyza","canadensis"
"3492","2012_DFT",2012,"DF","T","3","3","NAT.CIG2012_1129","Lasioglossum","pectorale","Lasioglossum_pectorale","Conyza","canadensis"
"3493","2012_BWT",2012,"BW","T","3","4","NAT.CIG2012_1130","Lasioglossum","pectorale","Lasioglossum_pectorale","Rudbeckia","hirta"
"3494","2012_ABC",2012,"AB","C","1","1","NAT.CIG2012_1131","Lasioglossum","pilosum","Lasioglossum_pilosum","Asclepias","syriaca"
"3495","2012_ALT",2012,"AL","T","3","4","NAT.CIG2012_1132","Lasioglossum","pilosum","Lasioglossum_pilosum","Rudbeckia","hirta"
"3496","2012_BWT",2012,"BW","T","3","1","NAT.CIG2012_1133","Lasioglossum","pilosum","Lasioglossum_pilosum","Coreopsis","tinctoria"
"3497","2012_BWT",2012,"BW","T","3","1","NAT.CIG2012_1134","Lasioglossum","pilosum","Lasioglossum_pilosum","Coreopsis","tinctoria"
"3498","2012_BWT",2012,"BW","T","2","1","NAT.CIG2012_1135","Lasioglossum","pilosum","Lasioglossum_pilosum","Rudbeckia","hirta"
"3499","2012_BWT",2012,"BW","T","3","1","NAT.CIG2012_1136","Lasioglossum","pilosum","Lasioglossum_pilosum","Rudbeckia","hirta"
"3500","2012_BWT",2012,"BW","T","2","2","NAT.CIG2012_1137","Lasioglossum","pilosum","Lasioglossum_pilosum","Coreopsis","tinctoria"
"3501","2012_BWT",2012,"BW","T","2","2","NAT.CIG2012_1138","Lasioglossum","pilosum","Lasioglossum_pilosum","Coreopsis","tinctoria"
"3502","2012_BWT",2012,"BW","T","2","2","NAT.CIG2012_1139","Lasioglossum","pilosum","Lasioglossum_pilosum","Coreopsis","tinctoria"
"3503","2012_BWT",2012,"BW","T","3","2","NAT.CIG2012_1140","Lasioglossum","pilosum","Lasioglossum_pilosum","Gaillardia","pulchella"
"3504","2012_BWT",2012,"BW","T","1","2","NAT.CIG2012_1141","Lasioglossum","pilosum","Lasioglossum_pilosum","Rudbeckia","hirta"
"3505","2012_BWT",2012,"BW","T","3","2","NAT.CIG2012_1142","Lasioglossum","pilosum","Lasioglossum_pilosum","Rudbeckia","hirta"
"3506","2012_BWT",2012,"BW","T","1","3","NAT.CIG2012_1143","Lasioglossum","pilosum","Lasioglossum_pilosum","Gaillardia","pulchella"
"3507","2012_BWT",2012,"BW","T","2","4","NAT.CIG2012_1144","Lasioglossum","pilosum","Lasioglossum_pilosum","Gaillardia","pulchella"
"3508","2012_BWT",2012,"BW","T","2","4","NAT.CIG2012_1145","Lasioglossum","pilosum","Lasioglossum_pilosum","Gaillardia","pulchella"
"3509","2012_BWT",2012,"BW","T","4","4","NAT.CIG2012_1146","Lasioglossum","pilosum","Lasioglossum_pilosum","Gaillardia","pulchella"
"3510","2012_DFC",2012,"DF","C","3","2","NAT.CIG2012_1147","Lasioglossum","pilosum","Lasioglossum_pilosum","Ranunculus","bulbosus"
"3511","2012_MAT",2012,"MA","T","2","2","NAT.CIG2012_1148","Lasioglossum","pilosum","Lasioglossum_pilosum","Rudbeckia","hirta"
"3512","2012_BWT",2012,"BW","T","2","4","NAT.CIG2012_1149","Lasioglossum","pilosum","Lasioglossum_pilosum","Conyza","canadensis"
"3513","2012_DFT",2012,"DF","T","1","4","NAT.CIG2012_1150","Lasioglossum","sp","Lasioglossum_sp","Conyza","canadensis"
"3514","2012_ALT",2012,"AL","T","4","2","NAT.CIG2012_1151","Lasioglossum","tegulare","Lasioglossum_tegulare","Rudbeckia","hirta"
"3515","2012_DFC",2012,"DF","C","3","4","NAT.CIG2012_1152","Lasioglossum","tegulare","Lasioglossum_tegulare","Erodium","cicutarium"
"3516","2012_ROT",2012,"RO","T","3","4","NAT.CIG2012_1153","Lasioglossum","tegulare","Lasioglossum_tegulare","Erigeron","philadelphicus"
"3517","2012_BWC",2012,"BW","C","1","2","NAT.CIG2012_1154","Lasioglossum","trigeminum","Lasioglossum_trigeminum","Erigeron","philadelphicus"
"3518","2012_BWC",2012,"BW","C","4","2","NAT.CIG2012_1155","Lasioglossum","trigeminum","Lasioglossum_trigeminum","Erigeron","philadelphicus"
"3519","2012_MAT",2012,"MA","T","3","1","NAT.CIG2012_1156","Lasioglossum","trigeminum","Lasioglossum_trigeminum","Asclepias","tuberosa"
"3520","2012_MAT",2012,"MA","T","2","2","NAT.CIG2012_1157","Lasioglossum","trigeminum","Lasioglossum_trigeminum","Rudbeckia","hirta"
"3521","2012_ROT",2012,"RO","T","4","2","NAT.CIG2012_1158","Lasioglossum","truncatum","Lasioglossum_truncatum","Plantago","lanceolata"
"3522","2012_ALT",2012,"AL","T","3","2","NAT.CIG2012_1159","Lasioglossum","versans","Lasioglossum_versans","Erigeron","philadelphicus"
"3523","2012_ALT",2012,"AL","T","4","2","NAT.CIG2012_1160","Lasioglossum","versans","Lasioglossum_versans","Erigeron","philadelphicus"
"3524","2012_MAC",2012,"MA","C","4","3","NAT.CIG2012_1161","Lasioglossum","versatum","Lasioglossum_versatum","Eupatorium","rotundifolium"
"3525","2012_ROC",2012,"RO","C","4","2","NAT.CIG2012_1162","Lasioglossum","versatum","Lasioglossum_versatum","Asclepias","syriaca"
"3526","2012_ROC",2012,"RO","C","4","2","NAT.CIG2012_1163","Lasioglossum","versatum","Lasioglossum_versatum","Erigeron","philadelphicus"
"3527","2012_BWT",2012,"BW","T","1","4","NAT.CIG2012_1164","Lasioglossum","versatum","Lasioglossum_versatum","Rudbeckia","hirta"
"3528","2012_MAT",2012,"MA","T","3","1","NAT.CIG2012_1165","Lasioglossum","versatum","Lasioglossum_versatum","Erigeron","philadelphicus"
"3529","2012_ROT",2012,"RO","T","2","4","NAT.CIG2012_1166","Lasioglossum","versatum","Lasioglossum_versatum","Solidago","sp"
"3530","2012_ROT",2012,"RO","T","4","4","NAT.CIG2012_1167","Lasioglossum","versatum","Lasioglossum_versatum","Solidago","sp"
"3531","2012_ROT",2012,"RO","T","4","4","NAT.CIG2012_1168","Lasioglossum","versatum","Lasioglossum_versatum","Solidago","sp"
"3532","2012_ROT",2012,"RO","T","4","4","NAT.CIG2012_1169","Lasioglossum","versatum","Lasioglossum_versatum","Solidago","sp"
"3533","2012_ROT",2012,"RO","T","2","4","NAT.CIG2012_1170","Lasioglossum","versatum","Lasioglossum_versatum","Solidago","sp"
"3534","2012_ROT",2012,"RO","T","2","4","NAT.CIG2012_1171","Lasioglossum","versatum","Lasioglossum_versatum","Solidago","sp"
"3535","2012_ROT",2012,"RO","T","3","4","NAT.CIG2012_1172","Lasioglossum","versatum","Lasioglossum_versatum","Erigeron","philadelphicus"
"3536","2012_ROT",2012,"RO","T","4","4","NAT.CIG2012_1173","Lasioglossum","versatum","Lasioglossum_versatum","Erigeron","philadelphicus"
"3537","2012_ROT",2012,"RO","T","4","4","NAT.CIG2012_1174","Lasioglossum","versatum","Lasioglossum_versatum","Erigeron","philadelphicus"
"3538","2012_ROT",2012,"RO","T","2","4","NAT.CIG2012_1175","Lasioglossum","versatum","Lasioglossum_versatum","Erigeron","philadelphicus"
"3539","2012_ROT",2012,"RO","T","1","4","NAT.CIG2012_1176","Lasioglossum","versatum","Lasioglossum_versatum","Erigeron","philadelphicus"
"3540","2012_ROT",2012,"RO","T","3","4","NAT.CIG2012_1177","Lasioglossum","versatum","Lasioglossum_versatum","Erigeron","philadelphicus"
"3541","2012_ROT",2012,"RO","T","3","4","NAT.CIG2012_1178","Lasioglossum","versatum","Lasioglossum_versatum","Erigeron","philadelphicus"
"3542","2012_ALT",2012,"AL","T","2","1","NAT.CIG2012_1179","Lasioglossum","versatum","Lasioglossum_versatum","Erigeron","philadelphicus"
"3543","2012_ROC",2012,"RO","C","3","4","NAT.CIG2012_1180","Lasioglossum","versatum","Lasioglossum_versatum","Oxalis","stricta"
"3544","2012_ROT",2012,"RO","T","2","2","NAT.CIG2012_1181","Lasioglossum","sp","Lasioglossum_sp","Erigeron","philadelphicus"
"3545","2012_BWC",2012,"BW","C","4","1","NAT.CIG2012_1182","Lasioglossum","sp","Lasioglossum_sp","Erigeron","philadelphicus"
"3546","2012_ALT",2012,"AL","T","2","3","NAT.CIG2012_1183","Lasioglossum","mitchelli","Lasioglossum_mitchelli","Erigeron","philadelphicus"
"3547","2012_DFT",2012,"DF","T","2","4","NAT.CIG2012_1184","Lasioglossum","mitchelli","Lasioglossum_mitchelli","Conyza","canadensis"
"3548","2012_DFT",2012,"DF","T","1","4","NAT.CIG2012_1185","Lasioglossum","mitchelli","Lasioglossum_mitchelli","Conyza","canadensis"
"3549","2012_MAT",2012,"MA","T","3","1","NAT.CIG2012_1186","Lasioglossum","callidum","Lasioglossum_callidum","Erigeron","philadelphicus"
"3550","2012_MAC",2012,"MA","C","4","2","NAT.CIG2012_1187","Lasioglossum","coreopsis","Lasioglossum_coreopsis","Hieracium","praealtum"
"3551","2012_MAC",2012,"MA","C","2","3","NAT.CIG2012_1188","Lasioglossum","coreopsis","Lasioglossum_coreopsis","Strophostyles","umbellata"
"3552","2012_MAC",2012,"MA","C","4","3","NAT.CIG2012_1189","Lasioglossum","coreopsis","Lasioglossum_coreopsis","Hypericum","canadense"
"3553","2012_MAT",2012,"MA","T","3","1","NAT.CIG2012_1190","Lasioglossum","coriaceum","Lasioglossum_coriaceum","Erigeron","philadelphicus"
"3554","2012_ROC",2012,"RO","C","3","1","NAT.CIG2012_1191","Lasioglossum","coriaceum","Lasioglossum_coriaceum","Galium","mollugo"
"3555","2012_ROT",2012,"RO","T","4","1","NAT.CIG2012_1192","Lasioglossum","coriaceum","Lasioglossum_coriaceum","Potentilla","reptans"
"3556","2012_MAT",2012,"MA","T","1","1","NAT.CIG2012_1193","Lasioglossum","fuscipenne","Lasioglossum_fuscipenne","Erigeron","philadelphicus"
"3557","2012_DFT",2012,"DF","T","1","3","NAT.CIG2012_1194","Lasioglossum","imitatum","Lasioglossum_imitatum","Conyza","canadensis"
"3558","2012_ALT",2012,"AL","T","4","3","NAT.CIG2012_1195","Lasioglossum","pilosum","Lasioglossum_pilosum","Rudbeckia","hirta"
"3559","2012_ALT",2012,"AL","T","4","3","NAT.CIG2012_1196","Lasioglossum","pilosum","Lasioglossum_pilosum","Rudbeckia","hirta"
"3560","2012_ALT",2012,"AL","T","4","3","NAT.CIG2012_1197","Lasioglossum","pilosum","Lasioglossum_pilosum","Rudbeckia","hirta"
